哀	year	sum(match_count)	sum(volume_count)
哀怜	1993	45	45
哀怜	1992	42	38
哀怜	1991	28	23
哀怜	1990	30	25
哀怜	1989	38	34
哀怜	1988	42	41
哀怜	1987	70	64
哀怜	1986	50	48
哀怜	1985	26	26
哀怜	1984	32	32
哀怜	1983	28	28
哀怜	1982	32	30
哀怜	1981	40	34
哀怜	1980	12	12
哀怜	1979	10	10
哀怜	1978	6	6
哀怜	1974	4	4
哀怜	1962	2	2
哀怜	1960	2	2
哀怜	1958	2	2
哀怜	1957	4	4
哀戚	year	sum(match_count)	sum(volume_count)
哀戚	2000	12	10
哀戚	1999	8	8
哀戚	1998	12	12
哀戚	1997	1	1
哀戚	1996	4	4
哀戚	1995	4	4
哀戚	1994	8	8
哀戚	1993	4	4
哀戚	1992	10	10
哀戚	1991	7	7
哀戚	1990	6	6
哀戚	1989	2	2
哀戚	1987	3	3
哀戚	1985	7	5
哀戚	1984	2	2
哀戚	1983	4	4
哀戚	1981	6	6
哀戚	1980	4	4
哀戚	1976	1	1
哀戚	1957	1	1
哀切	year	sum(match_count)	sum(volume_count)
哀切	2000	12	12
哀切	1998	5	5
哀切	1997	4	4
哀切	1996	1	1
哀切	1995	2	2
哀切	1994	1	1
哀切	1993	14	14
哀切	1992	2	2
哀切	1991	9	9
哀切	1990	2	2
哀切	1989	4	4
哀切	1988	9	9
哀切	1987	6	6
哀切	1986	6	6
哀切	1985	10	10
哀切	1984	1	1
哀切	1983	9	9
哀切	1982	6	6
哀切	1981	6	6
哀切	1978	2	2
哀切	1957	1	1
哀伤	year	sum(match_count)	sum(volume_count)
哀伤	2000	2214	1560
哀伤	1999	2419	1605
哀伤	1998	2490	1600
哀伤	1997	1932	1354
哀伤	1996	1836	1249
哀伤	1995	1854	1342
哀伤	1994	2180	1507
哀伤	1993	2630	1590
哀伤	1992	2337	1389
哀伤	1991	1744	1122
哀伤	1990	2010	1259
哀伤	1989	2351	1538
哀伤	1988	2104	1418
哀伤	1987	2238	1476
哀伤	1986	2406	1620
哀伤	1985	2556	1760
哀伤	1984	2324	1676
哀伤	1983	2028	1408
哀伤	1982	1502	1125
哀伤	1981	1662	1148
哀伤	1980	1268	869
哀伤	1979	758	592
哀伤	1978	304	215
哀伤	1977	140	114
哀伤	1976	40	28
哀伤	1975	44	43
哀伤	1974	14	14
哀伤	1973	40	28
哀伤	1972	6	6
哀伤	1971	20	12
哀伤	1970	54	20
哀伤	1969	20	3
哀伤	1968	2	2
哀伤	1966	2	2
哀伤	1965	30	22
哀伤	1964	40	38
哀伤	1963	52	47
哀伤	1962	106	80
哀伤	1961	52	46
哀伤	1960	20	14
哀伤	1959	108	75
哀伤	1958	146	107
哀伤	1957	60	57
哀伤	1956	46	32
哀伤	1955	18	6
哀伤	1951	12	5
哀伤	1949	2	2
哀伤	1945	2	2
哀伤	1938	2	2
哀痛	year	sum(match_count)	sum(volume_count)
哀痛	2000	229	208
哀痛	1999	211	201
哀痛	1998	222	206
哀痛	1997	174	160
哀痛	1996	197	187
哀痛	1995	132	120
哀痛	1994	128	124
哀痛	1993	220	211
哀痛	1992	108	107
哀痛	1991	102	86
哀痛	1990	120	116
哀痛	1989	162	158
哀痛	1988	162	153
哀痛	1987	111	107
哀痛	1986	235	218
哀痛	1985	210	196
哀痛	1984	220	215
哀痛	1983	166	152
哀痛	1982	140	132
哀痛	1981	156	144
哀痛	1980	134	128
哀痛	1979	194	178
哀痛	1978	64	52
哀痛	1977	27	27
哀痛	1976	14	14
哀痛	1975	12	8
哀痛	1973	2	2
哀痛	1972	4	4
哀痛	1964	8	8
哀痛	1963	6	6
哀痛	1962	18	16
哀痛	1961	2	2
哀痛	1959	12	12
哀痛	1958	4	4
哀痛	1957	10	10
哀痛	1956	14	14
哀痛	1950	2	2
哀痛	1927	2	2
哀怨	year	sum(match_count)	sum(volume_count)
哀怨	2000	160	147
哀怨	1999	154	140
哀怨	1998	154	140
哀怨	1997	144	138
哀怨	1996	115	109
哀怨	1995	148	134
哀怨	1994	118	111
哀怨	1993	159	154
哀怨	1992	116	106
哀怨	1991	140	132
哀怨	1990	137	122
哀怨	1989	144	138
哀怨	1988	180	168
哀怨	1987	166	142
哀怨	1986	168	149
哀怨	1985	206	188
哀怨	1984	190	184
哀怨	1983	206	184
哀怨	1982	178	172
哀怨	1981	122	106
哀怨	1980	92	92
哀怨	1979	56	54
哀怨	1978	14	14
哀怨	1977	8	8
哀怨	1975	2	2
哀怨	1974	8	8
哀怨	1964	2	2
哀怨	1963	4	4
哀怨	1962	2	2
哀怨	1961	6	6
哀怨	1960	2	2
哀怨	1959	6	4
哀怨	1958	12	10
哀怨	1957	8	6
哀怨	1956	4	4
傲视	year	sum(match_count)	sum(volume_count)
傲视	2000	184	163
傲视	1999	221	203
傲视	1998	310	283
傲视	1997	206	198
傲视	1996	156	145
傲视	1995	154	142
傲视	1994	170	161
傲视	1993	160	152
傲视	1992	140	133
傲视	1991	100	98
傲视	1990	122	118
傲视	1989	120	116
傲视	1988	106	104
傲视	1987	79	75
傲视	1986	112	100
傲视	1985	155	148
傲视	1984	150	136
傲视	1983	142	126
傲视	1982	86	78
傲视	1981	72	72
傲视	1980	112	105
傲视	1979	16	16
傲视	1978	24	18
傲视	1977	14	12
傲视	1976	2	2
傲视	1975	2	2
傲视	1974	8	8
傲视	1972	6	6
傲视	1966	4	2
傲视	1954	2	2
懊	year	sum(match_count)	sum(volume_count)
懊	2000	112	97
懊	1999	87	67
懊	1998	84	70
懊	1997	128	102
懊	1996	74	73
懊	1995	79	71
懊	1994	78	74
懊	1993	99	86
懊	1992	73	68
懊	1991	70	68
懊	1990	77	76
懊	1989	98	96
懊	1988	135	122
懊	1987	74	70
懊	1986	88	86
懊	1985	108	91
懊	1984	66	62
懊	1983	56	50
懊	1982	36	34
懊	1981	42	42
懊	1980	6	6
懊	1979	8	8
懊	1978	12	12
懊	1977	10	10
懊	1976	4	4
懊	1975	2	2
懊	1974	12	12
懊	1973	12	12
懊	1972	2	2
懊	1971	2	2
懊	1970	2	2
懊	1969	2	2
懊	1968	4	4
懊	1967	14	14
懊	1966	2	2
懊	1965	6	6
懊	1964	30	21
懊	1963	9	7
懊	1962	14	12
懊	1961	8	8
懊	1960	4	4
懊	1959	20	20
懊	1958	14	12
懊	1957	8	8
懊	1956	6	6
懊	1955	6	6
懊	1953	2	2
懊	1952	4	2
懊	1951	4	4
懊	1949	2	2
懊	1948	2	2
懊	1936	2	2
懊	1935	6	4
懊	1934	2	2
懊	1931	2	2
懊	1930	2	2
懊	1928	2	2
懊	1922	2	2
懊恨	year	sum(match_count)	sum(volume_count)
懊恨	2000	1	1
懊恨	1999	2	2
懊恨	1997	1	1
懊恨	1996	1	1
懊恨	1995	2	2
懊恨	1994	2	2
懊恨	1993	2	2
懊恨	1992	1	1
懊恨	1991	1	1
懊恨	1990	10	7
懊恨	1988	3	3
懊恨	1986	1	1
懊恨	1984	6	6
懊恨	1983	7	5
懊恨	1982	3	3
懊恨	1981	1	1
懊悔	year	sum(match_count)	sum(volume_count)
懊悔	2000	420	378
懊悔	1999	552	473
懊悔	1998	630	522
懊悔	1997	435	385
懊悔	1996	467	398
懊悔	1995	376	334
懊悔	1994	364	322
懊悔	1993	543	491
懊悔	1992	307	273
懊悔	1991	296	267
懊悔	1990	357	311
懊悔	1989	423	388
懊悔	1988	428	391
懊悔	1987	504	446
懊悔	1986	562	508
懊悔	1985	646	569
懊悔	1984	638	569
懊悔	1983	531	467
懊悔	1982	437	384
懊悔	1981	380	318
懊悔	1980	343	307
懊悔	1979	248	223
懊悔	1978	108	103
懊悔	1977	26	26
懊悔	1976	14	14
懊悔	1975	22	22
懊悔	1974	10	10
懊悔	1973	8	8
懊悔	1972	28	25
懊悔	1970	2	2
懊悔	1969	6	6
懊悔	1967	2	2
懊悔	1966	8	8
懊悔	1965	32	30
懊悔	1964	20	14
懊悔	1963	36	36
懊悔	1962	12	12
懊悔	1961	12	10
懊悔	1960	24	24
懊悔	1959	36	36
懊悔	1958	41	34
懊悔	1957	38	29
懊悔	1956	24	24
懊悔	1955	4	4
懊悔	1954	4	4
懊悔	1937	2	2
懊悔	1927	2	2
懊悔	1900	2	2
懊恼	year	sum(match_count)	sum(volume_count)
懊恼	2000	384	360
懊恼	1999	418	377
懊恼	1998	430	380
懊恼	1997	250	219
懊恼	1996	280	265
懊恼	1995	282	251
懊恼	1994	262	249
懊恼	1993	304	283
懊恼	1992	274	268
懊恼	1991	204	192
懊恼	1990	212	196
懊恼	1989	244	226
懊恼	1988	284	256
懊恼	1987	324	295
懊恼	1986	422	381
懊恼	1985	524	464
懊恼	1984	414	356
懊恼	1983	380	346
懊恼	1982	318	302
懊恼	1981	338	271
懊恼	1980	226	203
懊恼	1979	214	188
懊恼	1978	60	60
懊恼	1977	24	24
懊恼	1976	34	26
懊恼	1975	22	18
懊恼	1974	12	11
懊恼	1973	24	19
懊恼	1972	12	10
懊恼	1971	8	8
懊恼	1967	2	2
懊恼	1966	4	4
懊恼	1965	18	18
懊恼	1964	10	10
懊恼	1963	12	12
懊恼	1962	12	11
懊恼	1961	6	6
懊恼	1960	10	10
懊恼	1959	36	31
懊恼	1958	8	8
懊恼	1957	16	16
懊恼	1956	18	18
懊恼	1955	2	2
懊恼	1951	2	2
懊恼	1945	2	2
懊恼	1936	2	2
懊恼	1916	2	2
懊丧	year	sum(match_count)	sum(volume_count)
懊丧	2000	27	27
懊丧	1999	50	50
懊丧	1998	31	30
懊丧	1997	28	28
懊丧	1996	17	15
懊丧	1995	42	42
懊丧	1994	20	20
懊丧	1993	28	28
懊丧	1992	25	25
懊丧	1991	16	16
懊丧	1990	23	23
懊丧	1989	17	17
懊丧	1988	34	34
懊丧	1987	26	26
懊丧	1986	23	23
懊丧	1985	42	40
懊丧	1984	36	36
懊丧	1983	18	18
懊丧	1982	14	14
懊丧	1981	38	38
懊丧	1980	43	43
懊丧	1979	9	9
懊丧	1978	6	6
懊丧	1976	4	4
懊丧	1964	6	6
懊丧	1963	1	1
懊丧	1958	1	1
懊丧	1956	4	4
懊丧	1955	3	3
败兴	year	sum(match_count)	sum(volume_count)
败兴	2000	14	14
败兴	1999	12	12
败兴	1998	6	6
败兴	1997	8	8
败兴	1996	2	2
败兴	1995	9	8
败兴	1994	6	6
败兴	1992	8	8
败兴	1991	4	4
败兴	1990	6	6
败兴	1989	6	6
败兴	1988	2	2
败兴	1987	10	10
败兴	1986	4	4
败兴	1985	6	6
败兴	1984	4	4
败兴	1982	14	14
败兴	1981	14	14
败兴	1980	4	4
败兴	1979	2	2
败兴	1978	2	2
败兴	1977	2	2
败兴	1964	2	2
败兴	1963	2	2
板	year	sum(match_count)	sum(volume_count)
板	2000	47204	9555
板	1999	34692	9201
板	1998	28346	8715
板	1997	25564	7578
板	1996	24270	7604
板	1995	23598	7890
板	1994	27582	8063
板	1993	26920	8885
板	1992	23028	7473
板	1991	21292	7071
板	1990	22256	7137
板	1989	23296	8061
板	1988	24536	8555
板	1987	22290	8071
板	1986	23722	8105
板	1985	23886	8537
板	1984	23388	7789
板	1983	21648	6759
板	1982	17856	6072
板	1981	15782	5097
板	1980	12146	4167
板	1979	9694	3594
板	1978	5176	1958
板	1977	2844	1153
板	1976	1762	705
板	1975	2488	876
板	1974	1932	695
板	1973	2118	758
板	1972	1274	527
板	1971	434	176
板	1970	206	147
板	1969	94	58
板	1968	94	65
板	1967	114	78
板	1966	916	382
板	1965	1634	607
板	1964	1706	671
板	1963	1854	699
板	1962	1928	835
板	1961	982	439
板	1960	1108	438
板	1959	2318	1022
板	1958	2242	1003
板	1957	2126	1039
板	1956	1896	845
板	1955	516	246
板	1954	110	67
板	1953	110	57
板	1952	168	73
板	1951	72	42
板	1950	36	28
板	1949	166	44
板	1948	32	24
板	1947	28	24
板	1946	12	4
板	1945	12	6
板	1944	6	4
板	1943	2	2
板	1941	4	4
板	1940	4	4
板	1939	36	17
板	1938	22	16
板	1937	52	30
板	1936	50	42
板	1935	52	26
板	1934	32	20
板	1933	34	24
板	1932	36	22
板	1931	4	4
板	1930	44	22
板	1929	24	14
板	1928	28	14
板	1927	30	10
板	1926	2	2
板	1925	6	4
板	1924	6	6
板	1923	10	8
板	1922	4	2
板	1921	2	2
板	1916	2	2
板	1915	6	6
板	1913	4	4
板	1912	4	4
板	1911	2	2
板	1908	4	2
板	1903	4	4
板	1902	4	4
板	1900	82	17
半信半疑	year	sum(match_count)	sum(volume_count)
半信半疑	2000	188	180
半信半疑	1999	170	164
半信半疑	1998	162	156
半信半疑	1997	158	153
半信半疑	1996	142	142
半信半疑	1995	108	108
半信半疑	1994	158	135
半信半疑	1993	140	134
半信半疑	1992	94	91
半信半疑	1991	96	92
半信半疑	1990	110	106
半信半疑	1989	178	168
半信半疑	1988	129	129
半信半疑	1987	98	96
半信半疑	1986	103	100
半信半疑	1985	136	130
半信半疑	1984	90	84
半信半疑	1983	82	78
半信半疑	1982	118	118
半信半疑	1981	78	77
半信半疑	1980	54	54
半信半疑	1979	88	88
半信半疑	1978	44	44
半信半疑	1977	16	16
半信半疑	1976	10	10
半信半疑	1975	10	10
半信半疑	1974	4	4
半信半疑	1973	4	4
半信半疑	1972	6	6
半信半疑	1971	2	2
半信半疑	1966	2	2
半信半疑	1965	2	2
半信半疑	1964	4	4
半信半疑	1963	4	4
半信半疑	1962	2	2
半信半疑	1961	2	2
半信半疑	1960	8	8
半信半疑	1959	6	6
半信半疑	1958	12	12
半信半疑	1957	8	8
半信半疑	1956	14	14
半信半疑	1955	6	6
包涵	year	sum(match_count)	sum(volume_count)
包涵	2000	1436	1083
包涵	1999	1480	1142
包涵	1998	1533	1210
包涵	1997	1482	1104
包涵	1996	1800	1202
包涵	1995	1386	1020
包涵	1994	1797	1225
包涵	1993	1818	1332
包涵	1992	1721	1265
包涵	1991	1450	1068
包涵	1990	1342	976
包涵	1989	1534	1141
包涵	1988	1634	1253
包涵	1987	1246	954
包涵	1986	1124	840
包涵	1985	1086	842
包涵	1984	976	804
包涵	1983	860	690
包涵	1982	884	683
包涵	1981	716	532
包涵	1980	450	373
包涵	1979	258	219
包涵	1978	112	94
包涵	1977	30	27
包涵	1976	10	6
包涵	1975	18	18
包涵	1974	16	12
包涵	1973	18	16
包涵	1972	6	6
包涵	1971	2	2
包涵	1970	20	10
包涵	1967	4	4
包涵	1966	2	2
包涵	1965	8	8
包涵	1964	36	23
包涵	1963	22	19
包涵	1962	66	54
包涵	1961	10	10
包涵	1960	6	6
包涵	1959	52	37
包涵	1958	28	28
包涵	1957	74	41
包涵	1956	30	24
包涵	1953	2	2
包涵	1952	2	2
包涵	1950	4	4
包涵	1949	2	2
包涵	1936	2	2
包涵	1933	2	2
包涵	1900	2	2
包容	year	sum(match_count)	sum(volume_count)
包容	2000	9364	4132
包容	1999	7686	3666
包容	1998	7392	3546
包容	1997	6382	2990
包容	1996	6008	3010
包容	1995	5652	2674
包容	1994	6678	2936
包容	1993	7086	3282
包容	1992	6596	2934
包容	1991	5754	2750
包容	1990	4876	2378
包容	1989	5200	2634
包容	1988	5904	2882
包容	1987	4322	2108
包容	1986	3466	1838
包容	1985	2692	1584
包容	1984	1872	1256
包容	1983	1540	980
包容	1982	1042	766
包容	1981	852	636
包容	1980	484	400
包容	1979	244	200
包容	1978	144	114
包容	1977	20	20
包容	1976	22	22
包容	1975	32	32
包容	1974	22	16
包容	1973	62	18
包容	1972	12	8
包容	1971	2	2
包容	1970	4	4
包容	1969	2	2
包容	1967	8	8
包容	1966	2	2
包容	1965	10	10
包容	1964	18	18
包容	1963	20	18
包容	1962	16	16
包容	1961	10	10
包容	1960	18	14
包容	1959	68	42
包容	1958	14	14
包容	1957	70	52
包容	1956	26	22
包容	1955	16	10
包容	1954	2	2
包容	1949	4	4
包容	1945	4	2
包容	1939	2	2
包容	1938	2	2
包容	1936	6	4
包容	1935	2	2
包容	1932	4	2
包容	1931	2	2
包容	1923	4	2
包容	1900	4	4
褒贬	year	sum(match_count)	sum(volume_count)
褒贬	2000	170	154
褒贬	1999	172	161
褒贬	1998	164	157
褒贬	1997	158	155
褒贬	1996	121	118
褒贬	1995	196	166
褒贬	1994	178	164
褒贬	1993	178	167
褒贬	1992	212	199
褒贬	1991	134	128
褒贬	1990	178	168
褒贬	1989	154	149
褒贬	1988	214	206
褒贬	1987	238	202
褒贬	1986	178	170
褒贬	1985	194	182
褒贬	1984	170	160
褒贬	1983	132	123
褒贬	1982	138	132
褒贬	1981	141	128
褒贬	1980	86	83
褒贬	1979	82	56
褒贬	1978	30	30
褒贬	1977	2	2
褒贬	1976	12	12
褒贬	1975	10	8
褒贬	1974	4	4
褒贬	1973	4	4
褒贬	1965	14	12
褒贬	1964	8	8
褒贬	1963	4	4
褒贬	1962	6	6
褒贬	1961	4	4
褒贬	1960	2	2
褒贬	1959	4	4
褒贬	1958	2	2
褒贬	1957	6	4
褒贬	1935	2	2
薄	year	sum(match_count)	sum(volume_count)
薄	2000	5980	3988
薄	1999	5378	3752
薄	1998	5236	3529
薄	1997	6262	3210
薄	1996	4660	3230
薄	1995	5164	3072
薄	1994	4316	3133
薄	1993	5092	3496
薄	1992	4530	3228
薄	1991	4728	3390
薄	1990	4320	3038
薄	1989	4550	3305
薄	1988	4412	3275
薄	1987	4746	3319
薄	1986	4032	2919
薄	1985	3960	2983
薄	1984	3710	2755
薄	1983	3268	2437
薄	1982	3216	2279
薄	1981	2586	1877
薄	1980	1800	1383
薄	1979	1420	1038
薄	1978	872	605
薄	1977	456	310
薄	1976	272	215
薄	1975	356	263
薄	1974	230	178
薄	1973	280	205
薄	1972	186	138
薄	1971	48	43
薄	1970	30	26
薄	1969	50	27
薄	1968	20	16
薄	1967	24	14
薄	1966	146	108
薄	1965	228	175
薄	1964	188	147
薄	1963	208	161
薄	1962	210	173
薄	1961	82	71
薄	1960	120	100
薄	1959	208	174
薄	1958	218	187
薄	1957	196	173
薄	1956	120	103
薄	1955	126	55
薄	1954	8	6
薄	1953	8	8
薄	1952	30	23
薄	1951	60	20
薄	1950	6	6
薄	1949	40	19
薄	1948	2	2
薄	1940	2	2
薄	1938	2	2
薄	1936	4	4
薄	1935	2	2
薄	1933	2	2
薄	1932	2	2
薄	1931	2	2
薄	1930	12	6
薄	1929	2	2
薄	1924	6	4
薄	1921	2	2
薄	1912	2	2
薄	1900	6	4
抱不平	year	sum(match_count)	sum(volume_count)
抱不平	2000	120	114
抱不平	1999	206	198
抱不平	1998	154	146
抱不平	1997	108	106
抱不平	1996	96	96
抱不平	1995	72	70
抱不平	1994	74	68
抱不平	1993	146	142
抱不平	1992	106	106
抱不平	1991	70	70
抱不平	1990	72	72
抱不平	1989	102	96
抱不平	1988	92	90
抱不平	1987	100	98
抱不平	1986	152	151
抱不平	1985	162	158
抱不平	1984	122	110
抱不平	1983	138	134
抱不平	1982	84	82
抱不平	1981	124	123
抱不平	1980	116	113
抱不平	1979	44	44
抱不平	1978	6	6
抱不平	1977	10	10
抱不平	1976	14	14
抱不平	1975	4	4
抱不平	1974	10	10
抱不平	1973	6	6
抱不平	1972	16	12
抱不平	1971	6	4
抱不平	1966	2	2
抱不平	1965	8	8
抱不平	1964	6	6
抱不平	1963	4	4
抱不平	1962	10	10
抱不平	1961	6	6
抱不平	1958	6	6
抱不平	1957	4	4
抱不平	1956	10	10
抱不平	1955	10	6
抱不平	1949	2	2
抱不平	1938	2	2
抱憾	year	sum(match_count)	sum(volume_count)
抱憾	2000	56	55
抱憾	1999	60	58
抱憾	1998	54	54
抱憾	1997	40	40
抱憾	1996	26	26
抱憾	1995	30	30
抱憾	1994	14	14
抱憾	1993	42	40
抱憾	1992	30	30
抱憾	1991	36	36
抱憾	1990	46	46
抱憾	1989	38	38
抱憾	1988	30	30
抱憾	1987	48	48
抱憾	1986	34	34
抱憾	1985	58	58
抱憾	1984	66	60
抱憾	1983	56	56
抱憾	1982	40	40
抱憾	1981	42	42
抱憾	1980	28	24
抱憾	1979	12	12
抱憾	1977	4	4
抱憾	1976	2	2
抱憾	1975	2	2
抱憾	1973	4	4
抱憾	1972	2	2
抱憾	1971	2	2
抱憾	1958	2	2
抱憾	1941	2	2
抱憾	1938	2	2
抱恨	year	sum(match_count)	sum(volume_count)
抱恨	2000	18	18
抱恨	1999	16	16
抱恨	1998	13	13
抱恨	1997	10	10
抱恨	1996	3	3
抱恨	1995	18	18
抱恨	1994	4	4
抱恨	1993	22	22
抱恨	1992	9	9
抱恨	1991	8	8
抱恨	1990	6	6
抱恨	1989	15	15
抱恨	1988	20	20
抱恨	1987	6	6
抱恨	1986	8	8
抱恨	1985	10	10
抱恨	1984	14	14
抱恨	1983	8	8
抱恨	1982	18	18
抱恨	1981	26	26
抱恨	1980	10	10
抱恨	1971	4	4
抱恨	1964	6	6
抱恨	1958	2	2
抱愧	year	sum(match_count)	sum(volume_count)
抱愧	2000	25	24
抱愧	1999	16	16
抱愧	1998	9	9
抱愧	1997	20	20
抱愧	1996	15	15
抱愧	1995	10	10
抱愧	1994	8	8
抱愧	1993	7	7
抱愧	1992	14	14
抱愧	1991	5	5
抱愧	1990	8	8
抱愧	1989	16	16
抱愧	1988	2	2
抱愧	1987	7	7
抱愧	1986	7	7
抱愧	1985	4	4
抱愧	1984	6	6
抱愧	1983	30	30
抱愧	1982	16	16
抱愧	1981	9	9
抱愧	1980	6	6
抱愧	1979	11	11
抱愧	1978	2	2
抱愧	1963	4	4
抱愧	1962	1	1
抱愧	1959	4	4
抱愧	1956	4	4
抱歉	year	sum(match_count)	sum(volume_count)
抱歉	2000	4015	2162
抱歉	1999	4644	2337
抱歉	1998	4349	2316
抱歉	1997	3574	1831
抱歉	1996	3632	1865
抱歉	1995	3337	1805
抱歉	1994	3396	1661
抱歉	1993	3938	2070
抱歉	1992	2928	1535
抱歉	1991	2478	1305
抱歉	1990	2780	1442
抱歉	1989	3242	1708
抱歉	1988	3078	1796
抱歉	1987	3016	1750
抱歉	1986	3796	2070
抱歉	1985	4166	2276
抱歉	1984	4056	2326
抱歉	1983	3349	1850
抱歉	1982	3182	1785
抱歉	1981	3004	1604
抱歉	1980	2636	1426
抱歉	1979	2342	1244
抱歉	1978	616	415
抱歉	1977	252	197
抱歉	1976	208	128
抱歉	1975	162	129
抱歉	1974	68	52
抱歉	1973	184	122
抱歉	1972	96	64
抱歉	1971	24	16
抱歉	1970	12	10
抱歉	1967	26	22
抱歉	1966	86	60
抱歉	1965	80	72
抱歉	1964	178	126
抱歉	1963	210	159
抱歉	1962	262	193
抱歉	1961	120	88
抱歉	1960	92	66
抱歉	1959	279	222
抱歉	1958	334	219
抱歉	1957	218	176
抱歉	1956	254	163
抱歉	1955	46	32
抱歉	1954	6	6
抱歉	1953	16	12
抱歉	1951	2	2
抱歉	1950	4	4
抱歉	1949	8	6
抱歉	1948	6	2
抱歉	1947	2	2
抱歉	1946	2	2
抱歉	1945	4	2
抱歉	1941	4	4
抱歉	1938	18	8
抱歉	1937	4	4
抱歉	1936	4	4
抱歉	1935	4	4
抱歉	1934	2	2
抱歉	1933	6	4
抱歉	1929	2	2
抱歉	1926	4	2
抱歉	1924	2	2
抱歉	1923	2	2
抱歉	1922	2	2
抱歉	1900	12	3
抱怨	year	sum(match_count)	sum(volume_count)
抱怨	2000	15004	6149
抱怨	1999	14412	5665
抱怨	1998	15196	5789
抱怨	1997	11926	4802
抱怨	1996	11710	4905
抱怨	1995	10548	4569
抱怨	1994	9958	4450
抱怨	1993	12474	5252
抱怨	1992	10526	4379
抱怨	1991	8456	3898
抱怨	1990	8888	3843
抱怨	1989	11416	4666
抱怨	1988	11194	4972
抱怨	1987	9214	4151
抱怨	1986	9620	4114
抱怨	1985	9046	4207
抱怨	1984	8878	3915
抱怨	1983	7074	3246
抱怨	1982	7074	2922
抱怨	1981	5570	2473
抱怨	1980	4666	2070
抱怨	1979	2832	1530
抱怨	1978	1356	659
抱怨	1977	370	255
抱怨	1976	240	196
抱怨	1975	546	251
抱怨	1974	252	158
抱怨	1973	260	167
抱怨	1972	416	150
抱怨	1971	108	56
抱怨	1970	42	26
抱怨	1969	16	16
抱怨	1968	8	8
抱怨	1967	30	24
抱怨	1966	172	106
抱怨	1965	316	183
抱怨	1964	510	260
抱怨	1963	564	266
抱怨	1962	924	374
抱怨	1961	294	180
抱怨	1960	268	147
抱怨	1959	640	381
抱怨	1958	632	391
抱怨	1957	712	425
抱怨	1956	888	470
抱怨	1955	364	149
抱怨	1954	42	20
抱怨	1953	34	14
抱怨	1952	8	5
抱怨	1951	36	10
抱怨	1950	8	4
抱怨	1949	20	15
抱怨	1948	6	6
抱怨	1947	2	2
抱怨	1946	4	4
抱怨	1945	20	5
抱怨	1941	2	2
抱怨	1939	8	8
抱怨	1938	32	6
