爱	year	sum(match_count)	sum(volume_count)
爱不释手	1975	4	4
爱不释手	1965	2	2
爱不释手	1960	2	2
爱不释手	1956	2	2
爱戴	year	sum(match_count)	sum(volume_count)
爱戴	2000	2552	1861
爱戴	1999	2688	2031
爱戴	1998	2379	1746
爱戴	1997	2240	1591
爱戴	1996	2324	1623
爱戴	1995	2276	1700
爱戴	1994	2072	1567
爱戴	1993	2632	1949
爱戴	1992	2384	1794
爱戴	1991	2420	1776
爱戴	1990	2158	1656
爱戴	1989	2073	1657
爱戴	1988	2344	1887
爱戴	1987	2376	1842
爱戴	1986	2264	1779
爱戴	1985	2301	1849
爱戴	1984	2224	1751
爱戴	1983	2083	1576
爱戴	1982	1792	1435
爱戴	1981	1636	1232
爱戴	1980	1372	1056
爱戴	1979	1242	900
爱戴	1978	626	477
爱戴	1977	936	493
爱戴	1976	310	196
爱戴	1975	150	127
爱戴	1974	98	86
爱戴	1973	94	60
爱戴	1972	78	62
爱戴	1971	34	30
爱戴	1970	20	14
爱戴	1969	4	4
爱戴	1968	2	2
爱戴	1967	22	19
爱戴	1966	46	36
爱戴	1965	84	70
爱戴	1964	94	89
爱戴	1963	114	90
爱戴	1962	128	107
爱戴	1961	64	49
爱戴	1960	70	55
爱戴	1959	164	138
爱戴	1958	174	154
爱戴	1957	190	171
爱戴	1956	108	100
爱戴	1955	26	20
爱戴	1954	2	2
爱戴	1953	6	4
爱戴	1950	4	4
爱戴	1949	8	6
爱戴	1943	2	2
爱戴	1937	2	2
爱戴	1933	2	2
爱戴	1932	2	2
爱戴	1900	8	6
爱抚	year	sum(match_count)	sum(volume_count)
爱抚	2000	82	67
爱抚	1999	47	39
爱抚	1998	168	81
爱抚	1997	42	40
爱抚	1996	25	25
爱抚	1995	58	35
爱抚	1994	51	49
爱抚	1993	50	50
爱抚	1992	63	57
爱抚	1991	36	33
爱抚	1990	22	20
爱抚	1989	38	37
爱抚	1988	66	49
爱抚	1987	32	32
爱抚	1986	50	50
爱抚	1985	56	54
爱抚	1984	37	37
爱抚	1983	26	22
爱抚	1982	34	34
爱抚	1981	30	30
爱抚	1980	27	25
爱抚	1979	10	10
爱抚	1978	6	6
爱抚	1976	2	2
爱抚	1975	2	2
爱抚	1974	4	4
爱抚	1972	6	6
爱好	year	sum(match_count)	sum(volume_count)
爱好	2000	41052	10513
爱好	1999	39300	10092
爱好	1998	40708	9345
爱好	1997	29560	7956
爱好	1996	30172	8115
爱好	1995	30256	8218
爱好	1994	32246	8285
爱好	1993	36034	9458
爱好	1992	32606	8267
爱好	1991	32488	8020
爱好	1990	31200	7986
爱好	1989	34954	9532
爱好	1988	41334	10579
爱好	1987	41228	9724
爱好	1986	41038	9593
爱好	1985	43562	10237
爱好	1984	40406	9472
爱好	1983	35116	7718
爱好	1982	33180	7182
爱好	1981	28816	6274
爱好	1980	19526	4756
爱好	1979	13248	3771
爱好	1978	3444	1487
爱好	1977	1624	619
爱好	1976	1000	398
爱好	1975	772	492
爱好	1974	626	319
爱好	1973	1108	398
爱好	1972	1352	313
爱好	1971	1310	210
爱好	1970	416	94
爱好	1969	152	67
爱好	1968	88	34
爱好	1967	218	80
爱好	1966	582	210
爱好	1965	2492	572
爱好	1964	3076	725
爱好	1963	3826	720
爱好	1962	3480	875
爱好	1961	2340	440
爱好	1960	1964	466
爱好	1959	4708	1169
爱好	1958	7482	1333
爱好	1957	6366	1460
爱好	1956	3674	1097
爱好	1955	1144	313
爱好	1954	142	56
爱好	1953	122	37
爱好	1952	14	10
爱好	1951	124	30
爱好	1950	62	26
爱好	1949	342	46
爱好	1948	14	10
爱好	1947	14	7
爱好	1945	18	6
爱好	1944	16	2
爱好	1943	2	2
爱好	1941	4	4
爱好	1940	4	4
爱好	1939	2	2
爱好	1938	22	12
爱好	1937	8	5
爱好	1936	26	6
爱好	1934	6	3
爱好	1933	4	2
爱好	1932	8	6
爱好	1930	4	2
爱好	1929	2	2
爱好	1928	2	2
爱好	1927	2	2
爱好	1924	2	2
爱好	1912	26	2
爱好	1903	2	2
爱好	1900	38	20
爱护	year	sum(match_count)	sum(volume_count)
爱护	2000	11360	5509
爱护	1999	11108	5569
爱护	1998	11570	5708
爱护	1997	9498	4725
爱护	1996	9624	4557
爱护	1995	9882	5153
爱护	1994	9384	4767
爱护	1993	11322	5244
爱护	1992	11094	5115
爱护	1991	11408	4888
爱护	1990	9396	4616
爱护	1989	10172	5249
爱护	1988	10044	5525
爱护	1987	10522	5350
爱护	1986	9636	4895
爱护	1985	10624	5428
爱护	1984	10294	5220
爱护	1983	8916	4336
爱护	1982	8418	3855
爱护	1981	7448	3446
爱护	1980	5036	2641
爱护	1979	4630	2293
爱护	1978	1838	1080
爱护	1977	1568	810
爱护	1976	458	325
爱护	1975	548	412
爱护	1974	514	337
爱护	1973	570	387
爱护	1972	308	208
爱护	1971	150	93
爱护	1970	104	65
爱护	1969	116	47
爱护	1968	42	31
爱护	1967	104	51
爱护	1966	606	263
爱护	1965	546	322
爱护	1964	494	295
爱护	1963	412	260
爱护	1962	548	325
爱护	1961	292	179
爱护	1960	256	184
爱护	1959	514	404
爱护	1958	772	541
爱护	1957	768	502
爱护	1956	570	385
爱护	1955	118	81
爱护	1954	42	18
爱护	1953	22	11
爱护	1952	4	4
爱护	1951	18	12
爱护	1950	16	6
爱护	1949	346	38
爱护	1948	4	2
爱护	1947	4	3
爱护	1946	2	2
爱护	1945	4	3
爱护	1944	2	2
爱护	1939	2	2
爱护	1938	2	2
爱护	1937	8	5
爱护	1936	2	2
爱护	1934	6	2
爱护	1933	6	2
爱护	1927	8	3
爱护	1900	28	23
爱怜	year	sum(match_count)	sum(volume_count)
爱怜	2000	192	171
爱怜	1999	182	174
爱怜	1998	200	180
爱怜	1997	176	176
爱怜	1996	217	198
爱怜	1995	190	175
爱怜	1994	187	171
爱怜	1993	215	202
爱怜	1992	226	211
爱怜	1991	114	109
爱怜	1990	165	139
爱怜	1989	197	178
爱怜	1988	184	174
爱怜	1987	147	134
爱怜	1986	268	225
爱怜	1985	179	177
爱怜	1984	232	220
爱怜	1983	208	188
爱怜	1982	198	170
爱怜	1981	157	151
爱怜	1980	76	72
爱怜	1979	78	72
爱怜	1978	8	8
爱怜	1977	2	2
爱怜	1976	4	4
爱怜	1974	4	4
爱怜	1973	2	2
爱怜	1971	4	4
爱怜	1970	2	2
爱怜	1966	2	2
爱怜	1964	6	6
爱怜	1963	4	4
爱怜	1962	18	18
爱怜	1961	2	2
爱怜	1960	4	4
爱怜	1959	12	12
爱怜	1958	6	6
爱怜	1945	2	2
爱怜	1938	2	2
爱恋	year	sum(match_count)	sum(volume_count)
爱恋	2000	474	416
爱恋	1999	508	446
爱恋	1998	624	513
爱恋	1997	542	453
爱恋	1996	480	421
爱恋	1995	481	420
爱恋	1994	486	438
爱恋	1993	644	537
爱恋	1992	542	412
爱恋	1991	468	399
爱恋	1990	480	395
爱恋	1989	482	427
爱恋	1988	630	512
爱恋	1987	516	431
爱恋	1986	489	429
爱恋	1985	424	388
爱恋	1984	454	398
爱恋	1983	344	311
爱恋	1982	364	324
爱恋	1981	234	217
爱恋	1980	182	170
爱恋	1979	92	88
爱恋	1978	16	16
爱恋	1977	6	6
爱恋	1976	4	4
爱恋	1975	2	2
爱恋	1973	4	4
爱恋	1971	20	12
爱恋	1970	2	2
爱恋	1969	8	8
爱恋	1966	4	2
爱恋	1965	2	2
爱恋	1964	2	2
爱恋	1963	10	9
爱恋	1962	2	2
爱恋	1961	4	4
爱恋	1960	4	4
爱恋	1959	12	12
爱恋	1958	10	10
爱恋	1957	24	22
爱恋	1956	6	6
爱恋	1953	2	2
爱恋	1947	2	2
爱恋	1938	2	2
爱恋	1930	2	2
爱恋	1927	2	2
爱恋	1923	2	2
爱慕	year	sum(match_count)	sum(volume_count)
爱慕	2000	565	507
爱慕	1999	726	616
爱慕	1998	636	547
爱慕	1997	490	445
爱慕	1996	467	400
爱慕	1995	619	525
爱慕	1994	628	541
爱慕	1993	657	593
爱慕	1992	576	491
爱慕	1991	578	510
爱慕	1990	652	557
爱慕	1989	647	575
爱慕	1988	883	718
爱慕	1987	778	657
爱慕	1986	869	731
爱慕	1985	880	743
爱慕	1984	878	780
爱慕	1983	778	661
爱慕	1982	801	681
爱慕	1981	536	485
爱慕	1980	466	384
爱慕	1979	314	279
爱慕	1978	30	30
爱慕	1977	30	30
爱慕	1976	12	11
爱慕	1975	10	10
爱慕	1974	6	6
爱慕	1973	2	2
爱慕	1972	8	8
爱慕	1969	6	6
爱慕	1967	2	2
爱慕	1966	8	7
爱慕	1965	6	6
爱慕	1964	2	2
爱慕	1963	8	8
爱慕	1962	14	14
爱慕	1961	16	14
爱慕	1960	6	6
爱慕	1959	30	26
爱慕	1958	30	30
爱慕	1957	26	26
爱慕	1956	40	40
爱慕	1954	2	2
爱慕	1945	2	2
爱慕	1930	2	2
爱慕	1900	2	2
爱屋及乌	year	sum(match_count)	sum(volume_count)
爱屋及乌	2000	18	18
爱屋及乌	1999	10	10
爱屋及乌	1998	14	14
爱屋及乌	1997	5	5
爱屋及乌	1996	2	2
爱屋及乌	1995	4	4
爱屋及乌	1993	10	10
爱屋及乌	1992	2	2
爱屋及乌	1987	3	3
爱屋及乌	1985	8	8
爱屋及乌	1982	2	2
爱屋及乌	1980	2	2
爱惜	year	sum(match_count)	sum(volume_count)
爱惜	2000	662	583
爱惜	1999	806	693
爱惜	1998	637	580
爱惜	1997	530	466
爱惜	1996	556	469
爱惜	1995	572	497
爱惜	1994	534	472
爱惜	1993	710	629
爱惜	1992	578	529
爱惜	1991	636	488
爱惜	1990	548	478
爱惜	1989	488	430
爱惜	1988	534	496
爱惜	1987	456	414
爱惜	1986	630	539
爱惜	1985	650	586
爱惜	1984	692	592
爱惜	1983	500	450
爱惜	1982	438	395
爱惜	1981	472	428
爱惜	1980	337	294
爱惜	1979	220	199
爱惜	1978	88	82
爱惜	1977	92	88
爱惜	1976	12	12
爱惜	1975	18	18
爱惜	1974	48	38
爱惜	1973	24	24
爱惜	1972	34	34
爱惜	1971	16	16
爱惜	1970	6	6
爱惜	1969	10	6
爱惜	1968	4	2
爱惜	1967	4	4
爱惜	1966	12	12
爱惜	1965	42	42
爱惜	1964	38	31
爱惜	1963	44	44
爱惜	1962	42	32
爱惜	1961	10	9
爱惜	1960	12	10
爱惜	1959	42	42
爱惜	1958	56	46
爱惜	1957	40	40
爱惜	1956	44	44
爱惜	1955	22	20
爱惜	1953	2	2
爱惜	1952	2	2
爱惜	1951	6	6
爱惜	1949	4	4
爱惜	1937	4	4
爱惜	1936	2	2
爱惜	1930	2	2
爱惜	1923	2	2
爱惜	1921	2	2
爱惜	1900	2	2
安	year	sum(match_count)	sum(volume_count)
安	2000	165100	21054
安	1999	142554	19094
安	1998	141374	18415
安	1997	124236	16709
安	1996	113808	16197
安	1995	114276	17312
安	1994	110900	16806
安	1993	131340	18534
安	1992	114098	16627
安	1991	103616	15783
安	1990	100544	15624
安	1989	105778	18071
安	1988	97958	19190
安	1987	96554	18133
安	1986	85914	17880
安	1985	80008	17234
安	1984	75290	15770
安	1983	65574	13019
安	1982	55246	11772
安	1981	53096	10650
安	1980	39060	8345
安	1979	27740	7150
安	1978	12410	3698
安	1977	6342	2346
安	1976	5212	1522
安	1975	4946	1807
安	1974	4098	1604
安	1973	3866	1355
安	1972	3678	941
安	1971	1648	518
安	1970	1146	530
安	1969	566	302
安	1968	468	259
安	1967	510	286
安	1966	1566	702
安	1965	3584	1197
安	1964	4264	1325
安	1963	4806	1451
安	1962	5646	1664
安	1961	3144	891
安	1960	3236	839
安	1959	6630	2103
安	1958	6440	2061
安	1957	7414	2269
安	1956	4958	1634
安	1955	2636	595
安	1954	378	148
安	1953	366	138
安	1952	146	95
安	1951	226	98
安	1950	150	75
安	1949	890	124
安	1948	136	74
安	1947	62	50
安	1946	34	29
安	1945	126	21
安	1944	26	21
安	1943	20	12
安	1942	54	19
安	1941	40	29
安	1940	116	18
安	1939	66	50
安	1938	88	50
安	1937	146	102
安	1936	568	229
安	1935	292	123
安	1934	102	63
安	1933	124	76
安	1932	104	49
安	1931	42	37
安	1930	178	76
安	1929	92	74
安	1928	28	21
安	1927	50	25
安	1926	22	16
安	1925	24	22
安	1924	148	103
安	1923	36	24
安	1922	18	17
安	1921	38	19
安	1918	2	2
安	1917	6	5
安	1916	12	8
安	1915	32	24
安	1914	16	8
安	1913	8	5
安	1912	24	5
安	1911	4	4
安	1910	4	2
安	1909	4	2
安	1908	20	16
安	1907	10	9
安	1906	18	12
安	1905	14	6
安	1904	50	34
安	1903	102	29
安	1902	20	10
安	1901	6	5
安	1900	218	72
昂扬	year	sum(match_count)	sum(volume_count)
昂扬	2000	1776	1437
昂扬	1999	1970	1440
昂扬	1998	1576	1206
昂扬	1997	1334	1062
昂扬	1996	1150	958
昂扬	1995	1870	1535
昂扬	1994	1284	1037
昂扬	1993	1418	1096
昂扬	1992	1514	1187
昂扬	1991	1732	1347
昂扬	1990	1383	1092
昂扬	1989	1358	1100
昂扬	1988	1528	1231
昂扬	1987	1440	1197
昂扬	1986	1568	1266
昂扬	1985	1776	1434
昂扬	1984	1808	1431
昂扬	1983	1610	1273
昂扬	1982	1484	1237
昂扬	1981	1421	1118
昂扬	1980	1064	881
昂扬	1979	1330	1047
昂扬	1978	826	637
昂扬	1977	712	503
昂扬	1976	582	358
昂扬	1975	488	363
昂扬	1974	422	311
昂扬	1973	258	179
昂扬	1972	172	137
昂扬	1971	100	57
昂扬	1970	80	47
昂扬	1969	48	31
昂扬	1968	22	15
昂扬	1967	26	21
昂扬	1966	118	94
昂扬	1965	360	216
昂扬	1964	370	218
昂扬	1963	190	142
昂扬	1962	266	193
昂扬	1961	196	148
昂扬	1960	484	222
昂扬	1959	520	294
昂扬	1958	222	159
昂扬	1957	116	104
昂扬	1956	40	33
昂扬	1955	22	18
昂扬	1954	2	2
昂扬	1939	2	2
昂扬	1932	6	3
昂扬	1900	2	2
巴	year	sum(match_count)	sum(volume_count)
巴	2000	91444	10802
巴	1999	107378	10616
巴	1998	89426	9734
巴	1997	82752	8568
巴	1996	77784	8444
巴	1995	71614	8818
巴	1994	95750	8984
巴	1993	95032	9724
巴	1992	82476	8640
巴	1991	90966	8572
巴	1990	89136	8538
巴	1989	116444	9986
巴	1988	106510	10536
巴	1987	93964	9952
巴	1986	80394	8990
巴	1985	89446	9176
巴	1984	88242	8424
巴	1983	85504	7084
巴	1982	66622	6406
巴	1981	55798	5648
巴	1980	36124	4626
巴	1979	25118	3786
巴	1978	9176	1956
巴	1977	9082	1146
巴	1976	4480	818
巴	1975	5076	984
巴	1974	5896	784
巴	1973	6166	698
巴	1972	9288	536
巴	1971	5222	348
巴	1970	2036	230
巴	1969	662	138
巴	1968	1144	166
巴	1967	432	136
巴	1966	1738	314
巴	1965	5592	664
巴	1964	6612	850
巴	1963	6432	872
巴	1962	8502	900
巴	1961	4526	464
巴	1960	3162	512
巴	1959	6050	1120
巴	1958	5810	1074
巴	1957	7314	1338
巴	1956	6296	1010
巴	1955	2302	370
巴	1954	248	72
巴	1953	280	64
巴	1952	148	66
巴	1951	144	58
巴	1950	134	50
巴	1949	398	60
巴	1948	56	30
巴	1947	34	26
巴	1946	24	16
巴	1945	26	14
巴	1944	24	10
巴	1943	12	10
巴	1942	10	8
巴	1941	16	12
巴	1940	24	8
巴	1939	70	26
巴	1938	42	16
巴	1937	42	36
巴	1936	108	38
巴	1935	54	44
巴	1934	42	26
巴	1933	44	30
巴	1932	56	20
巴	1931	22	12
巴	1930	28	28
巴	1929	14	12
巴	1928	22	18
巴	1927	20	8
巴	1926	6	4
巴	1925	12	10
巴	1924	22	14
巴	1923	2	2
巴	1922	2	2
巴	1921	26	14
巴	1915	12	8
巴	1913	4	2
巴	1912	16	6
巴	1908	4	4
巴	1907	2	2
巴	1905	4	4
巴	1904	6	6
巴	1903	48	10
巴	1902	2	2
巴	1901	4	4
巴	1900	230	20
巴不得	year	sum(match_count)	sum(volume_count)
巴不得	2000	1521	1130
巴不得	1999	1943	1339
巴不得	1998	2117	1366
巴不得	1997	1489	1124
巴不得	1996	1468	1035
巴不得	1995	1128	827
巴不得	1994	1391	921
巴不得	1993	1606	1095
巴不得	1992	1184	899
巴不得	1991	786	606
巴不得	1990	992	699
巴不得	1989	1456	1073
巴不得	1988	1316	938
巴不得	1987	1306	950
巴不得	1986	1368	1051
巴不得	1985	1616	1255
巴不得	1984	1564	1199
巴不得	1983	1234	974
巴不得	1982	1156	833
巴不得	1981	1126	842
巴不得	1980	1038	738
巴不得	1979	661	533
巴不得	1978	412	323
巴不得	1977	248	203
巴不得	1976	130	110
巴不得	1975	144	116
巴不得	1974	70	62
巴不得	1973	92	87
巴不得	1972	80	76
巴不得	1971	14	12
巴不得	1970	14	14
巴不得	1968	2	2
巴不得	1967	12	10
巴不得	1966	50	47
巴不得	1965	108	88
巴不得	1964	90	75
巴不得	1963	116	82
巴不得	1962	188	135
巴不得	1961	72	64
巴不得	1960	56	54
巴不得	1959	104	88
巴不得	1958	162	142
巴不得	1957	102	80
巴不得	1956	138	121
巴不得	1955	8	7
巴不得	1954	6	6
巴不得	1953	4	4
巴不得	1952	2	2
巴不得	1951	2	2
巴不得	1947	2	2
巴不得	1939	2	2
巴不得	1938	6	3
巴不得	1936	2	2
巴不得	1933	4	4
巴不得	1932	2	2
巴不得	1929	2	2
巴不得	1916	2	2
巴不得	1913	2	2
巴不得	1911	2	2
巴不得	1900	2	2
巴望	year	sum(match_count)	sum(volume_count)
巴望	2000	76	68
巴望	1999	88	83
巴望	1998	102	100
巴望	1997	92	88
巴望	1996	116	111
巴望	1995	58	57
巴望	1994	64	60
巴望	1993	66	66
巴望	1992	62	62
巴望	1991	58	52
巴望	1990	60	60
巴望	1989	108	102
巴望	1988	100	92
巴望	1987	91	91
巴望	1986	136	130
巴望	1985	61	55
巴望	1984	140	140
巴望	1983	140	136
巴望	1982	76	70
巴望	1981	54	52
巴望	1980	52	50
巴望	1979	76	68
巴望	1978	20	20
巴望	1977	12	10
巴望	1976	12	11
巴望	1975	6	6
巴望	1973	4	2
巴望	1972	2	2
巴望	1966	4	4
巴望	1965	4	4
巴望	1964	2	2
巴望	1963	10	10
巴望	1962	6	6
巴望	1961	8	8
巴望	1958	6	6
巴望	1957	6	6
巴望	1956	2	2
巴望	1955	2	2
摆好	year	sum(match_count)	sum(volume_count)
摆好	2000	193	151
摆好	1999	126	126
摆好	1998	146	140
摆好	1997	148	142
摆好	1996	145	127
摆好	1995	171	161
摆好	1994	137	125
摆好	1993	199	191
摆好	1992	142	138
摆好	1991	137	117
摆好	1990	131	127
摆好	1989	126	126
摆好	1988	141	141
摆好	1987	163	160
摆好	1986	147	136
摆好	1985	180	172
摆好	1984	228	210
摆好	1983	149	141
摆好	1982	144	136
摆好	1981	164	160
摆好	1980	77	73
摆好	1979	93	87
摆好	1978	22	16
摆好	1977	22	18
摆好	1976	10	10
摆好	1975	14	14
摆好	1974	4	4
摆好	1973	8	8
摆好	1972	18	18
摆好	1971	4	4
摆好	1967	2	2
摆好	1966	10	10
摆好	1965	10	10
摆好	1964	19	19
摆好	1963	2	2
摆好	1962	6	6
摆好	1961	4	4
摆好	1960	4	4
摆好	1959	8	8
摆好	1957	4	4
摆好	1956	2	2
拜	year	sum(match_count)	sum(volume_count)
拜	2000	7430	4006
拜	1999	6574	3781
拜	1998	6718	3600
拜	1997	6312	3209
拜	1996	6262	3115
拜	1995	5772	3139
拜	1994	6816	3374
拜	1993	8116	3727
拜	1992	7430	3437
拜	1991	5966	3063
拜	1990	5852	2864
拜	1989	6574	3454
拜	1988	6766	3661
拜	1987	5522	3201
拜	1986	6294	3212
拜	1985	6086	3213
拜	1984	5598	2885
拜	1983	5404	2537
拜	1982	5008	2383
拜	1981	5228	2363
拜	1980	2920	1469
拜	1979	1962	1118
拜	1978	964	420
拜	1977	264	185
拜	1976	244	170
拜	1975	264	195
拜	1974	178	162
拜	1973	168	114
拜	1972	156	104
拜	1971	100	64
拜	1970	70	51
拜	1969	54	42
拜	1968	42	34
拜	1967	46	40
拜	1966	150	97
拜	1965	298	178
拜	1964	380	196
拜	1963	574	298
拜	1962	664	355
拜	1961	564	218
拜	1960	408	176
拜	1959	878	448
拜	1958	1210	576
拜	1957	1464	638
拜	1956	950	373
拜	1955	206	82
拜	1954	12	6
拜	1953	24	22
拜	1952	2	2
拜	1951	54	8
拜	1950	2	2
拜	1949	20	16
拜	1948	6	4
拜	1947	2	2
拜	1946	2	2
拜	1945	4	2
拜	1940	2	2
拜	1939	4	4
拜	1938	6	4
拜	1937	2	2
拜	1936	12	7
拜	1935	6	5
拜	1934	4	4
拜	1933	8	6
拜	1932	16	11
拜	1931	2	2
拜	1930	22	13
拜	1929	10	8
拜	1927	2	2
拜	1926	2	2
拜	1924	4	4
拜	1923	2	2
拜	1920	2	2
拜	1919	2	2
拜	1917	4	4
拜	1916	2	2
拜	1906	2	2
拜	1904	2	2
拜	1903	2	2
拜	1900	14	9
拜拜	year	sum(match_count)	sum(volume_count)
拜拜	2000	189	173
拜拜	1999	184	157
拜拜	1998	150	124
拜拜	1997	142	121
拜拜	1996	160	145
拜拜	1995	136	125
拜拜	1994	148	130
拜拜	1993	156	141
拜拜	1992	126	116
拜拜	1991	85	74
拜拜	1990	130	89
拜拜	1989	120	85
拜拜	1988	158	121
拜拜	1987	115	99
拜拜	1986	80	61
拜拜	1985	83	61
拜拜	1984	102	81
拜拜	1983	95	89
拜拜	1982	32	32
拜拜	1981	89	55
拜拜	1980	28	28
拜拜	1979	66	53
拜拜	1978	2	2
拜拜	1977	17	10
拜拜	1976	22	17
拜拜	1975	8	5
拜拜	1973	2	2
拜拜	1972	6	6
拜拜	1971	4	2
拜拜	1969	4	4
拜拜	1967	2	2
拜拜	1966	2	2
拜拜	1965	8	8
拜拜	1964	4	4
拜拜	1963	4	4
拜拜	1962	10	7
拜拜	1960	2	2
拜拜	1959	2	2
拜拜	1958	6	6
拜拜	1957	12	12
拜拜	1956	4	4
拜拜	1935	2	2
拜拜	1903	4	3
拜谒	year	sum(match_count)	sum(volume_count)
拜谒	2000	12	12
拜谒	1999	8	8
拜谒	1998	14	14
拜谒	1997	36	36
拜谒	1996	6	6
拜谒	1995	8	8
拜谒	1994	4	4
拜谒	1993	4	4
拜谒	1992	10	10
拜谒	1990	2	2
拜谒	1989	2	2
拜谒	1988	8	8
拜谒	1987	6	6
拜谒	1986	2	2
拜谒	1985	6	6
拜谒	1982	4	4
拜谒	1981	6	6
褒	year	sum(match_count)	sum(volume_count)
褒	2000	136	103
褒	1999	68	63
褒	1998	70	70
褒	1997	143	103
褒	1996	67	64
褒	1995	84	79
褒	1994	87	86
褒	1993	91	89
褒	1992	71	68
褒	1991	85	81
褒	1990	61	61
褒	1989	69	68
褒	1988	87	84
褒	1987	64	62
褒	1986	72	72
褒	1985	46	45
褒	1984	34	34
褒	1983	32	32
褒	1982	40	40
褒	1981	28	28
褒	1980	16	16
褒	1979	10	10
褒	1978	6	6
褒	1977	6	6
褒	1976	8	8
褒	1975	2	2
褒	1974	11	9
褒	1972	8	6
褒	1971	2	2
褒	1970	27	14
褒	1969	2	2
褒	1968	8	7
褒	1967	9	9
褒	1966	2	2
褒	1964	8	8
褒	1963	4	2
褒	1962	11	4
褒	1961	4	2
褒	1960	9	6
褒	1959	24	16
褒	1958	11	11
褒	1957	28	28
褒	1956	14	14
褒	1955	4	2
褒	1937	2	2
褒	1936	4	4
褒	1935	2	2
褒	1929	2	2
褒	1924	2	2
褒奖	year	sum(match_count)	sum(volume_count)
褒奖	2000	2024	1612
褒奖	1999	1978	1547
褒奖	1998	1819	1446
褒奖	1997	1527	1217
褒奖	1996	1481	1232
褒奖	1995	1452	1175
褒奖	1994	1526	1264
褒奖	1993	1610	1282
褒奖	1992	1492	1196
褒奖	1991	1190	971
褒奖	1990	1155	974
褒奖	1989	1434	1089
褒奖	1988	1214	1036
褒奖	1987	1188	1004
褒奖	1986	980	851
褒奖	1985	1160	976
褒奖	1984	1037	880
褒奖	1983	864	741
褒奖	1982	582	517
褒奖	1981	540	481
褒奖	1980	382	349
褒奖	1979	296	262
褒奖	1978	112	101
褒奖	1977	8	5
褒奖	1976	16	14
褒奖	1975	20	20
褒奖	1974	12	12
褒奖	1973	2	2
褒奖	1972	10	9
褒奖	1971	6	6
褒奖	1970	2	2
褒奖	1966	2	2
褒奖	1965	24	22
褒奖	1964	22	22
褒奖	1963	16	14
褒奖	1962	20	20
褒奖	1961	4	4
褒奖	1960	12	11
褒奖	1959	16	16
褒奖	1958	22	22
褒奖	1957	12	12
褒奖	1956	2	2
褒奖	1955	2	2
褒奖	1954	2	2
褒奖	1953	2	2
褒奖	1950	2	2
褒奖	1948	2	2
褒奖	1936	2	2
褒奖	1935	2	2
褒奖	1932	2	2
褒奖	1923	2	2
褒奖	1916	2	2
褒扬	year	sum(match_count)	sum(volume_count)
褒扬	2000	138	126
褒扬	1999	142	135
